SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFileSD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
BackgroundFileDD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
xsec_SD: 0 xsec_DD: 0.0003 xsec_had: 1.3 N: 31 xMax: 30 trkptcut: 0
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) Eff_DD(AND) Eff_DD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.989944 0.98995 0.531392 0.531432 0 0 0.468608 0.468568 1 1
1 0.989944 0.98995 0.531392 0.531432 0 0 0.468608 0.468568 1 1
2 0.986827 0.989947 0.475857 0.530624 0 0 0.524143 0.469376 1 1
3 0.972072 0.989815 0.164741 0.505055 0 0 0.835259 0.494945 1 1
4 0.965288 0.989506 0.0538275 0.486922 0 0 0.946173 0.513078 1 1
5 0.960907 0.989037 0.0288917 0.478112 0 0 0.971108 0.521888 1 1
6 0.956292 0.988382 0.0218382 0.470842 0 0 0.978162 0.529158 1 1
7 0.950641 0.987467 0.0173752 0.46153 0 0 0.982625 0.53847 1 1
8 0.943519 0.986207 0.0138761 0.450671 0 0 0.986124 0.549329 1 1
9 0.935045 0.984567 0.0113007 0.43805 0 0 0.988699 0.56195 1 1
10 0.925477 0.982611 0.00904153 0.423531 0 0 0.990958 0.576469 1 1
11 0.914904 0.980055 0.00739488 0.407697 0 0 0.992605 0.592303 1 1
12 0.903301 0.977089 0.00594401 0.39098 0 0 0.994056 0.60902 1 1
13 0.890847 0.973576 0.00481445 0.373464 0 0 0.995186 0.626536 1 1
14 0.877876 0.969616 0.0039108 0.355064 0 0 0.996089 0.644936 1 1
15 0.864304 0.965134 0.00315776 0.336766 0 0 0.996842 0.663234 1 1
16 0.850326 0.960093 0.0025001 0.318251 0 0 0.9975 0.681749 1 1
17 0.835824 0.954496 0.00195791 0.300042 0 0 0.998042 0.699958 1 1
18 0.82081 0.948424 0.00161653 0.282496 0 0 0.998383 0.717504 1 1
19 0.806194 0.941946 0.00133037 0.265001 0 0 0.99867 0.734999 1 1
20 0.791483 0.935117 0.00108438 0.248645 0 0 0.998916 0.751355 1 1
21 0.776955 0.927727 0.000863488 0.232494 0 0 0.999137 0.767506 1 1
22 0.762227 0.920193 0.000697819 0.217464 0 0 0.999302 0.782536 1 1
23 0.747685 0.91215 0.00052713 0.20289 0 0 0.999473 0.79711 1 1
24 0.733302 0.903979 0.000421704 0.189566 0 0 0.999578 0.810434 1 1
25 0.719301 0.89554 0.000346399 0.176779 0 0 0.999654 0.823221 1 1
26 0.705228 0.886858 0.000296197 0.164796 0 0 0.999704 0.835204 1 1
27 0.691418 0.878103 0.000266075 0.153515 0 0 0.999734 0.846485 1 1
28 0.677863 0.869104 0.000230933 0.142626 0 0 0.999769 0.857374 1 1
29 0.664513 0.859929 0.000190771 0.132726 0 0 0.999809 0.867274 1 1
30 0.65139 0.850675 0.000165669 0.123675 0 0 0.999834 0.876325 1 1
